Sample-ID	Latitude	 Longitude
KT722705_1_Lb_FR	 47.211627	4.48201
G2705_Lb_FR	 47.3276544	4.08215270
G2706_Lb_FR	 47.3276544	4.80215270
G841_384_Lb_FR	 43.558067	3.7195779
G593_72_Lb_ES	 43.2630126	-2.9349852
G2697_AL_IT	 43.596944 	10.2944439
AM176577_1_Lv_AT	 48.118611	16.938889
G2792_Lv_HU	 48.10673	21.38447
G664_157_Lv_CZ	 48.9733629	17.2668593
G2610_Lv_BG	 41.7556838	23.1483527
G2029_89_Lv_BG	 42.2658381	24.856707
G2167_252_Lv_BG	 42.1527958	25.1735502
G707_216_Lv_RS	 45.1232021	21.3246775
G899_449_Lv_MD	 48.4	27.866667
G1993_53_Lv_UA	 49.233083	28.4682170
ERS4631750_AL_SL	 45.49159	13.49469
G380_204_AL_ME	 42.3693834	19.283153
G376_397_AL_GR	 39.8799973	20.8552918
9003_TL_TR	 40.679167	31.558333
9004_TL_TR	 41.198611	32.626389
NC_021766_1_La	41.0	54.0
NC_018777_1_Tw	41.0	54.0
NC_026867_1_Zv	41.0	54.0
NC_011607_1_Pm	41.0	54.0
NC_025320_1_Ev	41.0	54.0
